title,poster,field,location,job_type,industry,salary,posting_age,minimum_qualification,experience_length,experience_level,qualification_1,qualification_2,qualification_3,qualification_4,qualification_5,job_summary,job_description
Anaesthesiologist,"
                            Mater Misericordiae Hospital
                        ",Medical & Pharmaceutical,Nairobi,Full Time,Healthcare,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Bachelor,Experience Length: 3 years,Experience Level: Mid level,"To Perform General, Regional and local Anaesthesiology during surgical procedures.",Management of medical emergencies and critical care patients.,Management of medical emergencies and critical care patients.,To train Medical Officers.,To participate in research.,"
                        Job Summary
                    
                        The Mater Misericordiae Hospital is seeking to fill the above position.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 3 years","Reporting to the Director of Medical Services, the successful candidate will be responsible for;Key ResponsibilitiesTo Perform General, Regional and local Anaesthesiology during surgical procedures.Management of medical emergencies and critical care patients.To train Medical Officers.To participate in research.Qualifications and ExperienceBachelor’s Degree in Medicine.Masters of Medicine Degree (Mmed) in anesthesiology.Minimum Three years’ work experience in a busy facility.Current practicing license from the Kenya Dentists and Medical Practioners Board.How to ApplyIf you are interested in the above position and you meet the 
requirements listed, please send your application together with a 
detailed CV, copies of relevant certificates, names and contacts of 
three referees to hrrecruit@materkenya.com to be received not later than
 30th April 2019.Only short listed candidates will be contacted."
General Surgeon Specialist,"
                            Mater Misericordiae Hospital
                        ",Medical & Pharmaceutical,Nairobi,Full Time,Healthcare,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Bachelor,Experience Length: 5 years,Experience Level: Mid level,"To perform Surgical procedures involving the endocrine system, 
Gastro intestinal tract, liver, colon etc. and minimally invasive 
surgery(Laparoscopy if possible)",Supervise the training of Medical Officers and Post graduate students,Supervise the training of Medical Officers and Post graduate students,To participate in research.,Bachelor’s Degree in Medicine.,"
                        Job Summary
                    
                        The Mater Misericordiae Hospital is seeking to fill the above position.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 5 years","Reporting to the Director of Medical Services, the successful candidate will be responsible for;Key ResponsibilitiesTo perform Surgical procedures involving the endocrine system, 
Gastro intestinal tract, liver, colon etc. and minimally invasive 
surgery(Laparoscopy if possible)Supervise the training of Medical Officers and Post graduate studentsTo participate in research.Qualifications and ExperienceBachelor’s Degree in Medicine.Masters of Medicine Degree (Mmed) in General Surgery.Minimum five years’ work experience after specialist recognition.Current practicing license from the Kenya Dentists and Medical Practioners Board.How to ApplyIf you are interested in the above position and you meet the 
requirements listed, please send your application together with a 
detailed CV, copies of relevant certificates, names and contacts of 
three referees to hrrecruit@materkenya.com to be received not later than
 30th April 2019.Only short listed candidates will be contacted."
 Executive Assistant – Nairobi,"
                            Kenya AIDS NGOs Consortium (KANCO)
                        ",Administrative & Office,Nairobi,Full Time,NGO,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Bachelor,Experience Length: 5 years,Experience Level: Mid level,Provide general support and assistance to the Executive Director in execution of their work.,"Manage EDs office including communication, information, public relations, board meetings, logistics and appointments.","Manage EDs office including communication, information, public relations, board meetings, logistics and appointments.","Assist the Executive Director in preparation of documentation, reports and presentation for meetings.","Manage the Executive Director’s calendar and diary for meetings, appointments, events and other engagements","
                        Job Summary
                    
                        She/He will provide administrative support to the Executive Director’s office and to the KANCO’s management team.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 5 years","KANCO is regional membership network of organizations including: 
Non-Governmental Organization (NGOs), Community Based Organization 
(CBOs), Faith Based Organization (FBOs), Private Sector, Research and 
Learning Institutions responding to HIV & AIDS and TB in Kenya.Its mission is to provide leadership, promote collaboration and 
enhance capacity among Civil Society organizations (CSOs) and other 
stakeholders to respond to HIV & AIDS, TB other public Health 
concerns at community level.Guided by the vision of healthy people, empowered communities, over 
time KANCO has evolved to become a premier agency for sensitizing, 
mobilizing and promoting collaboration among civil society organizations
 (CSOs) working in the region.KANCO is recruiting an Executive Assistant –Nairobi.She/He will provide administrative support to the Executive Director’s office and to the KANCO’s management team.Duties and ResponsibilitiesProvide general support and assistance to the Executive Director in execution of their work.Manage EDs office including communication, information, public relations, board meetings, logistics and appointments.Assist the Executive Director in preparation of documentation, reports and presentation for meetings.Manage the Executive Director’s calendar and diary for meetings, appointments, events and other engagementsMaintain the necessary information data base for the EDs office and 
contact database for relevant stakeholders and collaborators.Facilitate travel for Executive Director including booking for air tickets, accommodation etcHandle ED requests and inquiries, when appropriateProvide Secretarial and Administrative Services to the Management team.Manage KANCOs mail system.Manage efficient filing system.Manage travel logistics for all staff and international guests.Take and maintain minutes of staff meetingsContact person to KANCO members and providing information and advise.Respond to routine letters.Manage office petty cash.Provide support to program staff in organizing workshops, trainings and conferences.Maintains positive visibility, good public image, and good public relations for KANCO.Carry out any other assignments as may be assigned by the Executive Director/Management Team from time to time.Required QualificationBachelor’s degree in in Business/Public Administration/Management related field.At least 5 years work experience in a similar position and preferably in an NGOCompetencies RequiredStrong work ethic, willingness to learn and ability to work on flexible scheduleAbility to multiple tasks and meet deadlines, must have initiative and be able to work with minimal supervision.Good analytical, dynamic thinking skills, results oriented and has strong attention to detail.Strong organizational and managerial skills; ability to multi-taskGood written and oral communication skills and presentation skillsPossess excellent people skills and ability to motivate to achieve 
results; good management and supervision skills and result oriented.Good negotiation and public relations skills.Excellent technological orientation and good working knowledge with MS Office suite.Basic knowledge in financial management including budgeting.Commitment to and understanding of KANCO’S vision, mission and values.How to ApplyInterested applicants should submit a cover letter and CV before 12th April 2019 to jobs@kanco.org.Quoting the current and expected salary with Executive Assistant – Nairobi on the email subject line .KANCO is an equal opportunity employer and does not discriminate 
against: color, race, nationality, ethnicity, religion or belief, 
gender, marital status, sexual orientation, age, HIV/AIDS Status, and 
disability.Only short listed candidates will be contacted"
Cashier,"
                            Uhai Neema Hospital – Ruaraka
                        ","Accounting, Auditing & Finance",Nairobi,Full Time,Healthcare,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Bachelor,Experience Length: 2 years,Experience Level: Mid level,NA,NA,NA,NA,NA,"
                        Job Summary
                    
                        Applications are invited from qualified persons for the above vacant position.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 2 years",We are looking for a cashier with below qualifications;Ø Diploma in Business Administration or any other related field from a recognized institutionØ Bachelor’s degree will be an added advantageØ At least CPA level 1 with 2 years’ experience preferably in a hospital setupInterested candidates to send their applications to hr@runeemahospital.org before close of business 3rd April 2019.
General Manager,"
                            Anonymous
                        ",Management & Business Development,Nairobi,Full Time,Education & Training,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Bachelor,Experience Length: 5 years,Experience Level: Management level,NA,NA,NA,NA,NA,"
                        Job Summary
                    
                        Applications are invited from qualified persons for the above vacant position.
                    Minimum Qualification: BachelorExperience Level: Management levelExperience Length: 5 years","Qualifications1.     Bachelor’s Degree/Masters 
in Management2.     40  years and above3.     5 years of experience in the same
or related field4.     Proven track record in managing
an institution of higher learning.5.     Experience  in
managing   transport  institution /technical  college. Skills·        
Excellent
Communication skills.·        
Business/Entrepreneurial/Marketing
skills.·        
Organizational
and planning skills.·        
People
Management and problem solving skills·        
Knowledge
of the relevant government ministries·        
Fluent in
English and Kiswahili·        
Ability
to work long hours,meeting strict deadlines/target·        
Excellent
computer skills   ·        
Excellent
Driving   skills·        
Results
oriented and ability to work with minimal supervision·        
Disciplined
with right attitude·        
High
level of integrity Roles and responsibilities·        
Oversee
daily operations of the business unit or organization·        
Ensure
the creation and implementation of a strategy designed to grow the business"
Office Administrators-PIBS,"
                            Anonymous
                        ",Administrative & Office,Nairobi,Full Time,Education & Training,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Bachelor,Experience Length: 2 years,Experience Level: Mid level,"Bachelor’s
     Degree in business management/Administration or its equivalent.","Certificate
     in computer applications.","Certificate
     in computer applications.","At
     least 2 years working experience in a busy Customer Care environment.","Willing
     to learn and patiently able to handle high pressure environment.","
                        Job Summary
                    
                        A leading institute of business studies is recruiting for the role of Office Administrators. We follow the approved curriculum & prepare students for KNEC, ICM, NITA, KASNEB and City & Guild Certificate, Diploma and Advanced Diploma.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 2 years","Key Responsibilities:  ·       
Handling
office inquiries·       
Follow-up
on all inquiries·       
Managing
office operations ·       
Any
other general reception duties.Qualifications:Bachelor’s
     Degree in business management/Administration or its equivalent.Certificate
     in computer applications.At
     least 2 years working experience in a busy Customer Care environment.Willing
     to learn and patiently able to handle high pressure environment.Demonstrated
     ability to achieve high performance goals.Highly
     resourceful team player.Strong
     organizational skills.Below
     30 years."
House Matron,"
                            Anonymous
                        ",Food Services & Catering,Nairobi,Full Time,Education & Training,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Diploma,Experience Length: 2 years,Experience Level: Mid level,"Diploma
     in the relevant field","30
     years and above Female","30
     years and above Female","2
     years of experience in the same or related field ","Proven
     track record as a matron in an institution of higher learning","
                        Job Summary
                    
                        Applications are invited from qualified persons for the above vacant position.
                    Minimum Qualification: DiplomaExperience Level: Mid levelExperience Length: 2 years","Qualifications Diploma
     in the relevant field30
     years and above Female2
     years of experience in the same or related field Proven
     track record as a matron in an institution of higher learningSkills 1.     Excellent
Communication skills. 2.     Conversant with the
health and well-being of students. 3.     First Aid training
& practical skills. 4.     Keeping the families
informed about the well-being of their children5.     Preparing meals for
the students (Breakfast, lunch & supper) and supervising bedtime.6.     Making sure that
students hostels are clean and calling for emergency treatment if necessary.7.     Record keeping and
student progress tracking skills "
Marketers,"
                            Anonymous
                        ",Marketing & Communications,Nairobi,Full Time,Education & Training,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Diploma,Experience Length: 2 years,Experience Level: Mid level,"Diploma
     in sales and marketing","Experience
     in selling services","Experience
     in selling services","Certificate
     in computer applications","25
     years and above ","
                        Job Summary
                    
                        Applications are invited from qualified persons for the above vacant position.
                    Minimum Qualification: DiplomaExperience Level: Mid levelExperience Length: 2 years","Qualifications Diploma
     in sales and marketingExperience
     in selling servicesCertificate
     in computer applications25
     years and above 2
     years of experience in the same or related field Skills :Excellent
     Communication skills. Record
     keeping and progress tracking skills Fluent
     in English and KiswahiliWork
     under minimal supervision"
Office Administrators,"
                            Anonymous
                        ",Administrative & Office,Nairobi,Full Time,Education & Training,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Diploma,Experience Length: 2 years,Experience Level: Mid level,"At
     least a diploma in business management or its equivalent.","Certificate
     in computer applications.","Certificate
     in computer applications.","At
     least 2 years working experience in a busy Customer Care environment.","Willing
     to learn and patiently able to handle high pressure environment.","
                        Job Summary
                    
                        Responsible for Handling office inquiries, follow-up on all inquiries, managing office operations and any other general reception duties.
                    Minimum Qualification: DiplomaExperience Level: Mid levelExperience Length: 2 years","QualificationsAt
     least a diploma in business management or its equivalent.Certificate
     in computer applications.At
     least 2 years working experience in a busy Customer Care environment.Willing
     to learn and patiently able to handle high pressure environment.Demonstrated
     ability to achieve high performance goals.Highly
     resourceful team player.Strong
     organizational skills.Below
     30 years."
Territory Sales Representatives,"
                            Kenya Wine Agencies Limited (KWAL)
                        ",Sales,Nairobi,Full Time,"Retail, Fashion & FMCG","
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Bachelor,Experience Length: 3 years,Experience Level: Mid level,"Conduct client visits for existing and potential outlets in the 
assigned territory in order to achieve the territory given sales targets
 and ensure sustained business growth.","Achieve product availability targets for the assigned territory 
through identifying and negotiating listings and targets for strategic 
focus brands to drive and maintain numeric distribution by brand 
category.","Achieve product availability targets for the assigned territory 
through identifying and negotiating listings and targets for strategic 
focus brands to drive and maintain numeric distribution by brand 
category.","Enhance product accessibility through identifying and negotiating 
SOVI (Forward Share Inventory and limit Out of Stocks) and achieving 
cold and ambient space targets by channel and brand category.","Promote product affordability on price by ensuring adherence to 
Recommended Retail Price (RPP) guidelines per strategic focus brand by 
channel and outlet type.","
                        Job Summary
                    
                        Reporting to the respective Territory Sales Manager, the job holder will be responsible managing and servicing existing outlets while prospecting and developing new accounts with a focus on building long term customer relationships and increasing sales revenue.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 3 years","Kenya Wine Agencies Limited (KWAL) is looking for well-organized and 
highly motivated individuals who are result-oriented to fill the 
following positions:Territory Sales RepresentativesREF-TSRS-03-2019Function / Division: CommercialDepartment: Sales and DistributionSupervisor / Manager Title: Sales ManagerJob Purpose: Reporting to the respective Territory 
Sales Manager, the job holder will be responsible managing and servicing
 existing outlets while prospecting and developing new accounts with a 
focus on building long term customer relationships and increasing sales 
revenue.The roles will be based in various regions.Responsibilities and AccountabilitiesConduct client visits for existing and potential outlets in the 
assigned territory in order to achieve the territory given sales targets
 and ensure sustained business growth.Achieve product availability targets for the assigned territory 
through identifying and negotiating listings and targets for strategic 
focus brands to drive and maintain numeric distribution by brand 
category.Enhance product accessibility through identifying and negotiating 
SOVI (Forward Share Inventory and limit Out of Stocks) and achieving 
cold and ambient space targets by channel and brand category.Promote product affordability on price by ensuring adherence to 
Recommended Retail Price (RPP) guidelines per strategic focus brand by 
channel and outlet type.Identify, negotiate, plan and execute activation opportunities such 
as promotions and tastings with customer in line with the territory 
sales plan.Achieve required customer visit hit rate; call effectiveness and 
minimum order quantities and/ or values in order to drive sales in 
volume and value.Pro-actively manage the cash and credit resources of the customer to drive growth of KWAL brands in terms of volume and value.Monitor and manage company assets such as fridges, vehicles within the KWAL policies and procedures to ensure optimal use.Receive, follow up and resolve all customer queries and complaints 
in collabollation with the customer service team in an efficient manner.Prepare and submit accurate and timely reports to the territory manager to facilitate proper planning.Minimum RequirementsBachelor degree in business a business related course.A minimum of 3 years’ experience in Sales within a similar environment.Membership in a professional body would be an added advantage.Must possess a clean and valid driving license.Practical experience in use of MS packages and ERP systems.Competencies / AttributesStrong oral and written communication skills.Excellent Persuasion, negotiation and influencing Skills.Drive for results with no excuses.Ability to work independently with limited supervision, under pressure and meet deadlines.High levels of professionalism with internal and external customers.High level of integrity.Relationships and working contactsInternal – Sales and distribution, marketing, warehousing.External – Consumers, drinks venues, modern trade, HORECA, distributors, stockists.Work EnvironmentThis is a field based role with limited Office time.How to ApplyIf you feel you meet the requirements for this position, send your 
updated CV with email & telephone contacts of three professional 
referees and the application letter quoting the Reference number & 
Title of the position as the subject to:The Human Resources Director,KWAL,Email: recruitment@kwal.co.keto be received not later than April 19, 2019.Do not attach any certificates/scanned documents to your application.Only short listed candidates will be contacted.Canvassing will lead to automatic disqualification.KENYA WINE AGENCIES LIMITED IS AN EQUAL OPPORTUNITY EMPLOYER AND DOES
 NOT CHARGE ANY FEES AT ANY STAGE OF THE RECRUITMENT PROCESS 
(APPLICATION, INTERVIEW MEETING, PROCESSING, OR TRAINING)."
Front Office Receptionist – Nairobi,"
                            Kingfisher Nest
                        ",Administrative & Office,Nairobi,Full Time,Hospitality & Hotel,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Certificate,Experience Length: 2 years,Experience Level: Mid level,"Vocational Diploma or Degree in Hotel Management school, or general Business School.","English is essential, with a second language a huge plus.","English is essential, with a second language a huge plus.",Clear speech with excellent verbal and written communication skills.,A polite manner.,"
                        Job Summary
                    
                        The Front Office Receptionist is dynamic and efficient, and serves all guests with a professional, warm and positive attitude.
                    Minimum Qualification: CertificateExperience Level: Mid levelExperience Length: 2 years","ResponsibilitiesThe Front Office Receptionist reports directly to the Front Office Supervisor.The Front Office Receptionist is dynamic and efficient, and serves all guests with a professional, warm and positive attitude.She/he will welcome guests as they arrive at the hotel and ensure to provide assistance at all times.The Front Office Receptionist will welcome guests as they arrive at 
the hotel. Your duties include checking guests in and out, issuing keys,
 taking reservations by telephone or email, preparing bills and dealing 
with payments. You provide guests with information, answer their queries
 and deal with complaints.The Front Office Receptionist shifts rotate 24 hours a day.Qualifications, Characteristics & ExperienceVocational Diploma or Degree in Hotel Management school, or general Business School.English is essential, with a second language a huge plus.Clear speech with excellent verbal and written communication skills.A polite manner.A high standard of personal presentation.A good telephone manner.Exceptional customer service skills, patience and tact.The ability to be calm and well organized, even when working under pressure.MS Office and IT skills.The ability to handle cash, credit/debit cards and foreign currency.Some secretarial and keyboard skills.Sales acumen and ability.Accurate and able to pay attention to detail.Ability to operate standard office equipmentQualifications / Skills / ExperienceO level/ KCSE CertificateCertificate/Diploma in Front Office operations2 Years’ experience in Front Office in at least 4-star hotelStrong organizational skills required.Must be fluent in verbal and written English.Must have attention to detail.Good customer service skillsIf you meet the said requirements and are passionate enough to build a
 career in the hospitality industry, please send your application in 
confidence by email attaching your detailed latest CV to:Human Resource Managerhr@kingfishernest.com"
Graphic Designer Intern,"
                            Consumer Insight
                        ",Creative & Design,Nairobi,Internships & Graduate,Technology,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Diploma,Experience Length: No Experience/Less than 1 year,"Experience Level: Volunteer, internship",NA,NA,NA,NA,NA,"
                        Job Summary
                    
                        Applications are invited from qualified persons for the above intern position.

                    Minimum Qualification: DiplomaExperience Level: Volunteer, internshipExperience Length: No Experience/Less than 1 year","Are you the perfect fit?The Consumer Insight Africa Group of Companies is currently seeking 
suitable parts for its corporate vehicle to run efficiently and get the 
job done.Wrenches and spanners need not applyBody KitAs a Graphic Designer Intern you will assist in creating visual designs and also oversee the production of the design.As such, you will be responsible for how the car looks and appeals to
 different target groups- sporty, funky, bold, classy or vintage.You must be creative, passionate, proactive and highly organized with a sense of humor and a good eye for detail.Must have at exposure and a good understanding of design software and familiar with PowerPoint designsInterested candidates are invited to send a portfolio, CV and application letter to careers@ciafrica.com"
"Head of Access, Marketing & Business Support-East Africa","
                            Roche Kenya Ltd
                        ",Sales,Nairobi,Full Time,Healthcare,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Bachelor,Experience Length: 6 years,Experience Level: Senior level,Manage and grow a diverse team of experts and contribute to the overall performance of the organization as a member of the Leadership Team.,Developing access and marketing strategies in close collaboration with the commercial team.,Developing access and marketing strategies in close collaboration with the commercial team.,Developing and implementing sustainable pricing policies and managing all commercial contracts,Provide business insights and ensure efficient supply chain through forecasting,"
                        Job Summary
                    
                        He/She will be responsible to ensure optimal access to our products as well as supporting the commercial team in terms of business insight, pricing, contracting and supply chain management.
                    Minimum Qualification: BachelorExperience Level: Senior levelExperience Length: 6 years","Roche Kenya Ltd is looking for a Head of Access, Marketing & Business Support-East Africa with at least 8 year’s professional experience in Market access /commercial having worked in a cross functional teams.He/She will be responsible to ensure optimal access to our products as well as supporting the commercial team in terms of business insight, pricing, contracting and supply chain management.The role will report to country Manager East Africa and will be based in Nairobi, Kenya.This role will contribute to the success of East Africa business organization by; Maintaining value for products throughout their life cycle, working cross functionally to implement optimal strategies in the different markets, developing and managing business relations with all relevant stakeholders.Primary ResponsibilitiesManage and grow a diverse team of experts and contribute to the overall performance of the organization as a member of the Leadership Team.Developing access and marketing strategies in close collaboration with the commercial team.Developing and implementing sustainable pricing policies and managing all commercial contractsProvide business insights and ensure efficient supply chain through forecastingQualificationsPossess at least a degree in Business, life Science, Health Economics Medicine or Pharmacy with at least 6 to 8 years’ experience in pharmaceutical commercial roles or Pricing & Reimbursement / Market access role.Analytical skills: able to perform in-depth market and pricing analysis in the fast changing health care and business environment.Robust understanding of different types of health care and reimbursement systems.Excellent communication and interpersonal skills.Collaborative and understand cultural differences.CompetenciesCore behaviors: Walk the talk (Accountability) / Be brave (challenge the status quo) / Do it right (serving others),Proven ability to demonstrate Roche ValuesLeadership and management skills / Organization, planning, strategic thinking, influencing and communication skills.Proven ability to interact well in a multi-functional team setting.Roche is an equal opportunity employer."
Regional Network Engagement Director- Africa,"
                            Teach For All
                        ",Management & Business Development,Outside Kenya,Full Time,Education & Training,"
                        KSh
                    
                    Confidential
                ","
                    3w
                ",Minimum Qualification: Bachelor,Experience Length: 8 years,Experience Level: Management level,"Provide direct support and thought partnership to partner and prospective CEOs and their leadership teams to build capacity and enhance their strategic clarity, including strategic leveraging regional specialists and other resources from across Teach For All.","Directly support partners in the region to co-create an annual partnership plan that identifies how Teach For All will support them and how they will contribute back to the network.  The specific partner organizations assigned to the Regional Director’s portfolio will be determined based on a combination of factors including the person’s location, language skills and abilities, and background.","Directly support partners in the region to co-create an annual partnership plan that identifies how Teach For All will support them and how they will contribute back to the network.  The specific partner organizations assigned to the Regional Director’s portfolio will be determined based on a combination of factors including the person’s location, language skills and abilities, and background.","Act as primary day-to-day relationship holder with a portfolio of current CEOs & CEOs of prospective partners , and cultivate relationships to build positive, long-term partnerships as a means to achieving broad and mutually beneficial goals and outcomes.",Provide direct support to the region’s partner CEOs and prospective partners-supporting their leadership teams to foster learning & sharing across the network that helps build partner capacity and enhances their strategic clarity,"
                        Job Summary
                    
                        As a Regional Network Engagement Director, you will steward Teach For All’s engagement with the region’s partner CEOs and prospective CEOs, working to build and deepen relationships and collaborations across the region. 
                    Minimum Qualification: BachelorExperience Level: Management levelExperience Length: 8 years","Position Summary:Teach For All is looking for a dynamic and strategic leader to support a diverse group of network and prospective partners and in Africa.  As a Regional Network Engagement Director, you will steward Teach For All’s engagement with the region’s partner CEOs and prospective CEOs, working to build and deepen relationships and collaborations across the region. You will serve as an overall strategic resource to these organizations, diagnosing their needs, and marshaling network resources to meet them.  The right candidate will have a proven ability to work effectively across different country contexts and cultures, navigating ambiguity with ease, and will have experience making sound strategic decisions that drive impact in complex and changing environments. This individual is required to have deep familiarity living and working in the region, must reside and authorized to work within the region, and will report to the Head of Africa Region.Currently partners in the region include: Teach For Nigeria, Teach For Ghana, and Teach For Uganda and we are supporting entrepreneurs seeking to launch organizations in  Liberia, Tanzania, Sierra Leone, Zimbabwe, Senegal, South Africa, Ethiopia, Rwanda, Kenya, Congo and The Gambia. You will be leading these efforts as part of our AFRICA regional team, which aims to grow the capacity and impact of Teach For All’s partners across the AFRICA region overall.Roles and ResponsibilitiesSupporting current and prospective partners 80%:Provide direct support and thought partnership to partner and prospective CEOs and their leadership teams to build capacity and enhance their strategic clarity, including strategic leveraging regional specialists and other resources from across Teach For All.Directly support partners in the region to co-create an annual partnership plan that identifies how Teach For All will support them and how they will contribute back to the network.  The specific partner organizations assigned to the Regional Director’s portfolio will be determined based on a combination of factors including the person’s location, language skills and abilities, and background.Act as primary day-to-day relationship holder with a portfolio of current CEOs & CEOs of prospective partners , and cultivate relationships to build positive, long-term partnerships as a means to achieving broad and mutually beneficial goals and outcomes.Provide direct support to the region’s partner CEOs and prospective partners-supporting their leadership teams to foster learning & sharing across the network that helps build partner capacity and enhances their strategic clarityShare insights and ask questions that support these emerging organizations to develop strategic clarity, design key program and organizational elements, and build support for this approach in their countries.  Be responsible for building relationships and networks with key stakeholders to attract high potential CEOs to the work from across the region in order to enable Teach For All to expand its impact in diverse contexts and grow its international reach such that it is operating from a truly global perspective.Structure sequence of support and share insights from across the network in order to inform prospective partners’’ efforts to contextualize the Teach For All approach to their local contextFacilitate meaningful learning experiences such as immersions, peer-to-peer visits to network partner and events for social entrepreneurs and also ensuring collaboration and connection with the network community in order to build strong relationships and foster network cultureLeverage a deep understanding of the Africa landscape and develop and execute on a strategy to build external champions and elevate awareness of our workContribute to Africa Regional Strategy and Team Strength (20%)Play a critical role in devising, executing, and monitoring the progress of the region’s strategy to ensure partner impact is maximizedContribute to broader impact by bringing a deep understanding of the prospective CEOs’ context and priorities to inform regional decision making as well as the broader support strategy of the Teach For All organizationContribute meaningfully to the strength of Africa region and in pursuit of our prioritiesParticipate in the Network Growth Engagement, and External team meetings to help inform programmatic decisions that impact the design and implementation of engagement & support to current and prospective partners.Act as a mentor to staff members who engage with Africa region, helping shape Africa team cultureHighlight and share best practices and resources from the region that can be used by Teach For All partner organizations in the larger networkRight Candidate for the roleThe right candidate is one who has a proven ability to be visionary, can build strong culture among stakeholders, influences results through others, builds strong relationships, demonstrates strong judgment, and makes strategic decisions that drive impact in complex and changing environments.  The right candidate will have a proven ability to work effectively across contexts and cultures, operate flexibly, and navigate ambiguity with ease. This individual is required to have deep familiarity living and working in the region and a strong orientation to diversity, equity and inclusiveness.Education & ExperienceBachelor's degree required; Master's degree preferredMinimum 8-10 years full time work experience, including at least 5 years of work experience in the Africa region. Experience working in multiple country contexts across the region is strongly preferredWillingness and ability to reside and work in region long-term requiredFluency in English (written, spoken, reading) is requiredFluency in French is not required but a plusPrevious experience success in building and growing effective private and public partnerships and/or with fundraising preferredKnowledge, Skills & AbilitiesAbility to understand and lead in alignment with Teach For All’s vision, core purpose, intended outcomes, unifying principles and theory of changeAbility to be highly visionary, strategic, and analyticalExceptional relationship building skills, including the ability to build rapport and engage effectively with individual and organizations from a diversity of backgrounds, contexts, and working styles, and influence and motivate others through both formal and informal authorityAbility to deeply understand multiple local contexts quickly as well as demonstrate strong judgment  and flexibility in complex, ambiguous circumstancesAbility to work effectively within an entrepreneurial, fast-paced, and results-oriented culture, by demonstrating strong operating instincts, organizational skills and disciplineExceptional organizational, time management, and prioritization skills; ability to manage high-volumes of rapid paced work with easeAbility to be generative and  independently drive towards outcomes, demonstrating flexibility and shifting priorities as needed based on how the work evolves  Adaptability and openness to working collaboratively with colleagues and partners across the region and world, including a high volume of virtual engagement (i.e. video calls, social media, virtual collaboration tools)Deeply committed to the mission, vision and values of Teach For AllSense of Possibility: We believe in the extraordinary potential of all children and in our collective potential to realize our aspirations, and so we act with courage, boldness, urgency and perseverance in pursuit of transformational impact.Locally Rooted and Globally Informed: We value the enormous assets in the communities where we work, immerse ourselves in local perspectives, needs and opportunities, and work in deep partnership with students, families, educators, and community members—all while also seeking to build our understanding of what is possible based on insights from outside of our communities and countries.Constant Learning: We commit to continuous education, reflection and improvement as the foundation for the transformational leadership we strive to develop.Diversity & Inclusiveness: We seek to ensure full participation of people from all cultures and backgrounds, and we believe those who have themselves experienced the inequities we’re working to address should guide and lead this work.Interdependence: In recognition of our shared humanity and interconnectedness, we work with generosity and compassion to help each other develop and growTravel and HoursTravel expected, approximately 30 - 50%, mostly within the region to provide direct support to partner organizations and early stage entrepreneurs, or to attend regional gatherings, but also some travel out-of-region to attend conferences. Given that we work across all time zones, some non-traditional hours for very early or late night calls are a routine expectation of this role.CompensationSalary for this position is competitive and depends on prior experience and includes a comprehensive benefits package.Work AuthorizationCandidates for this position must possess or be able to obtain work authorization in the country they want to work in in order to be consideredApply nowPlease submit your resume and a one-page cover letter directly online.https://teachforall.avature.net/career/JobDetail/This-position-can-be-based-in-Ghana-Malawi-Nigeria-South-Africa-or-Uganda-Regional-Network-Engagement-Director-Africa/633"
