"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method"
"Monitoring and Evaluation Coordinator",2019-04-17,2019-04-26," African Women’s Development and","NGO/Non-Profit  
Research / Data Analysis  ",NA,""," NGO / Non-Profit Associations","MBA/MSc/MA   ","
5 years ",NA,"
Bachelor’s degree in social sciences or any relevant discipline from a recognised university
Have good and proven knowledge on different monitoring and evaluation frameworks and tracking tools.
Experience in training others in monitoring and evaluation
IS and IT competency, especially in using ERPs or any other software packages for design, data entry and analysis is added advantage.
",NA,"Interested applicants should send their intent letter (not more than 2 pages responding to each major requirement), accompanied by resume with names and addresses of 3 professional referees (not more than 3 pages including telephone and e-mail)"
"Sales Executives",2019-04-17,2019-04-25," Tata International Limited [TIL]","Sales / Marketing  ","Nairobi","Full Time"," Sales / Marketing / Retail","BA/BSc/HND   ","
3 years ",NA,NA,NA,"Interested candidates should forward CVs to hr.kenya@tatainternational.com by C.O.B 25th April 2019"
"Heavy Truck Sales Manager",2019-04-17,2019-04-25," Tata International Limited [TIL]","Sales / Marketing  ","Nairobi","Full Time"," Sales / Marketing / Retail","BA/BSc/HND   ","
5 years ",NA,"
Filter Jobs


County | Search by region instead




- Select County -




Baringo
Bomet
Bungoma
Busia
Chuka
Eldoret
Elgeyo Marakwet
Embu
Garissa
Homa Bay
Isiolo
Kajiado
Kakamega
Karatina
Kericho
Kerugoya
Kiambu
Kilifi
Kirinyaga
Kisii
Kisumu
Kitale
Kitengela
Kitui
Kwale
Laikipia
Lamu
Machakos
Makueni
Mandera
Marsabit
Meru
Migori
Mombasa
Muranga
Nairobi
Nakuru
Nandi
Nanyuki
Narok
Nyamira
Nyandarua
Nyeri
Samburu
Siaya
Taita Taveta
Tana River
Tharaka Nithi
Thika
Trans Nzoia
Turkana
Uasin Gishu
Vihiga
Wajir





- Select Region -


Field




- Select Field -




Administration / Secretarial
Agriculture/Agro-Allied
Art / Crafts / Languages
Aviation / Airline
Banking
Building and Construction
Catering / Confectionery
Consultancy
Customer Care
Education / Teaching
Engineering / Technical
Finance / Accounting / Audit
General
Graduate Jobs / Internships
Hospitality / Hotel / Restaurant
Human Resources / HR
ICT / Computer
Insurance
Janitorial Services
Law / Legal
Logistics
Manufacturing
Media / Advertising / Branding
Medical / Health
MyJobMag
NGO/Non-Profit
Oil and Gas / Energy
Pharmaceutical
Procurement / Store-keeping / Supply Chain
Project Management
Real Estate
Research / Data Analysis
Safety and Environment / HSE
Sales / Marketing
Security / Intelligence
Transportation and Driving
Travels &amp; Tours


Industry




- Select Industry -




Advertising / Branding / PR
Agriculture / Agro-Allied
Aviation / Airline
Banking / Financial Services
Building / Construction
Consulting
Creative / Arts
Education / Teaching / Information
Engineering / Technical
Food Services
General
Government
Healthcare / Medical
Hospitality
ICT / Telecommunication
Insurance / Investments
Internet / E-commerce
Janitorial Services / Environment
Law / Legal
Logistics and Transportation
Manufacturing / Production / FMCG
Media / Radio / TV
NGO / Non-Profit Associations
Oil and Gas / Marine
Pharmaceuticals
Power / Energy
Professional / Social Associations
Real Estate
Religious
Research
Sales / Marketing / Retail
Science
Security
Travel and Tours


Education




- Select Education -




First School Leaving Certificate (FSLC)
KCSE
NCE
Diploma
BA/BSc/HND
MBA/MSc/MA
PhD/Fellowship
Vocational
Others


Experience


- Select Experience -
1 - 4 years
5 - 10 years
11 - 35 years



Also include jobs without defined experience

Job Title






",NA,"Interested candidates should forward CVs to hr.kenya@tatainternational.com by C.O.B 25th April 2019"
"Aftersales (service / Parts) Manager",2019-04-17,2019-04-25," Tata International Limited [TIL]","Sales / Marketing  ","Nairobi","Full Time"," Sales / Marketing / Retail","BA/BSc/HND   ","
5 years ",NA,"
Filter Jobs


County | Search by region instead




- Select County -




Baringo
Bomet
Bungoma
Busia
Chuka
Eldoret
Elgeyo Marakwet
Embu
Garissa
Homa Bay
Isiolo
Kajiado
Kakamega
Karatina
Kericho
Kerugoya
Kiambu
Kilifi
Kirinyaga
Kisii
Kisumu
Kitale
Kitengela
Kitui
Kwale
Laikipia
Lamu
Machakos
Makueni
Mandera
Marsabit
Meru
Migori
Mombasa
Muranga
Nairobi
Nakuru
Nandi
Nanyuki
Narok
Nyamira
Nyandarua
Nyeri
Samburu
Siaya
Taita Taveta
Tana River
Tharaka Nithi
Thika
Trans Nzoia
Turkana
Uasin Gishu
Vihiga
Wajir





- Select Region -


Field




- Select Field -




Administration / Secretarial
Agriculture/Agro-Allied
Art / Crafts / Languages
Aviation / Airline
Banking
Building and Construction
Catering / Confectionery
Consultancy
Customer Care
Education / Teaching
Engineering / Technical
Finance / Accounting / Audit
General
Graduate Jobs / Internships
Hospitality / Hotel / Restaurant
Human Resources / HR
ICT / Computer
Insurance
Janitorial Services
Law / Legal
Logistics
Manufacturing
Media / Advertising / Branding
Medical / Health
MyJobMag
NGO/Non-Profit
Oil and Gas / Energy
Pharmaceutical
Procurement / Store-keeping / Supply Chain
Project Management
Real Estate
Research / Data Analysis
Safety and Environment / HSE
Sales / Marketing
Security / Intelligence
Transportation and Driving
Travels &amp; Tours


Industry




- Select Industry -




Advertising / Branding / PR
Agriculture / Agro-Allied
Aviation / Airline
Banking / Financial Services
Building / Construction
Consulting
Creative / Arts
Education / Teaching / Information
Engineering / Technical
Food Services
General
Government
Healthcare / Medical
Hospitality
ICT / Telecommunication
Insurance / Investments
Internet / E-commerce
Janitorial Services / Environment
Law / Legal
Logistics and Transportation
Manufacturing / Production / FMCG
Media / Radio / TV
NGO / Non-Profit Associations
Oil and Gas / Marine
Pharmaceuticals
Power / Energy
Professional / Social Associations
Real Estate
Religious
Research
Sales / Marketing / Retail
Science
Security
Travel and Tours


Education




- Select Education -




First School Leaving Certificate (FSLC)
KCSE
NCE
Diploma
BA/BSc/HND
MBA/MSc/MA
PhD/Fellowship
Vocational
Others


Experience


- Select Experience -
1 - 4 years
5 - 10 years
11 - 35 years



Also include jobs without defined experience

Job Title






",NA,"Interested candidates should forward CVs to hr.kenya@tatainternational.com by C.O.B 25th April 2019"
"Pharmaceutical Technologist",2019-04-17,2019-04-25," Nyali Children’s Hospital","Pharmaceutical  ","Mombasa","Full Time"," Healthcare / Medical","BA/BSc/HND   ",NA,NA,NA,NA,"Forward your application quoting the expected salary and including relevant testimonials to P.O Box 43354-80100, Mombasa on or before 25th April 2019"
"Supervisor – Production",2019-04-17,NA," Safepak Limited","Manufacturing  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,"
Ensuring that manpower requirement is efficiently and properly distributed in all the machines hence appropriately advising the HR in regard to this
Ensuring all the extra duties are done and managing extra employees, in case of any
Supervising/ Inspection of incoming and outgoing employees during shift change over This is inclusive of ensuring proper change over and hand over from one shift to another
Ensuring and maintaining cleanliness and appending signatures on the cleaning schedules in each cleaning area
Monitoring staff attendance and reporting appropriately in case of absence.
Ensuring all staff conduct themselves properly according to the rules and regulations of the company i.e. ensuring high standards of discipline.
Overseeing the general production process and preparing supervisor’s reports and handling it over to the Factory Manager at the end of every shift.
Ensuring fairness and equality in all duties given to the general workers, emphasis on motivating the new staff by support and understanding not by harassment.
Ensuring all staff is in full and appropriate personal protective equipment (PPE).
Ensuring pet packers follow the required packing procedure and packaging standards provided and signing the provided packaging checklist.
Offering first aid in case of accidents and reporting any incidents and hazards to the management.
Requesting and issuance of packaging materials like polybags, taper and stickers and ensuring that they are appropriately utilized with minimum wastage.
Always being the eye of the management ensuring company equipment is used appropriately and reporting any breakdowns or malfunctions.
Acting as the link of the staff and the management.
Any other duties as assigned
",NA,NA,"Email your CV to hr@ke.safepakgroup.com"
"Country Director (Multiple)",2019-04-17,NA," GiveDirectly","Administration / Secretarial  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
3 years ",NA,NA,NA,"Interested and qualified? Go to GiveDirectly career website on givedirectly.recruiterbox.com to apply"
"Global Sales: Outlet Execution Manager, Africa",2019-04-17,NA," Diageo","Sales / Marketing  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,"
Financial: This role does not have direct P&L responsibility; but will be instrumental in driving NSV and Market Share growth targets as defined with each market. The importance of NSV and market share delivery will be reflected in the targets of this role.
Market Complexity: The scope of this role is Global with a focus on Africa and will require interfacing with GM’s, Commercial Directors and cross functional stakeholders. As well as an ability to adapt outlet execution transformation to differing Route to Consumer archetypes.
Leadership Responsibilities
Win Through Execution by leading the transformation of Outlet Execution with the in-market team. This will be achieved by taking an external lens and setting the bar high for us and our partners. This will cover all aspects of the Outlet Execution framework from leveraging Advanced Analytics to establish segmentation & outlet standards, to ensuring the right technology is in place to drive this transformation to utilizing insights to understand outlet execution performance and ultimately deliver improved top line growth and market share.
Shape the Future by enabling i) Market GM’s ii) Market Sales Directors and iii) local teams, to see the opportunity and act boldly to drive change and ensure delivery. This will cover all aspects of the Outlet Execution framework from leveraging Advanced Analytics to establish segmentation & outlet standards, to ensuring the right technology is in place to drive this transformation to supporting
Act like an owner in demonstrating shared accountability for implementation and holding self and others to the highest standards
",NA,NA,"Interested and qualified? Go to Diageo career website on diageo.wd3.myworkdayjobs.com to apply"
"Sales Administrator",2019-04-17,NA," Paperbags Ltd","Sales / Marketing  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,"
Pipeline Management:

Maintaining an accurate database of customer information such as billing details, product preferences, and correspondences.
Processing of invoices.
Record Keeping of all sites visits made.
Maintaining accurate and updated records of sales figures on a daily, weekly and monthly basis.


Follow-up on orders:

Preparing estimates upon requests by customers and closely monitoring the progress of on-going customer orders.
Ensure timely order fulfillment and delivery to customers.


In-store sales:

Providing walk-in customer with product samples and catalogs and recommending products to customers based on customers’ needs and interests.


Administration duties:

Scheduling appointments to make site visits for both existing & prospective customers for the sales reps.
Picking and making sales calls and follow up calls
Any other duty as may be assigned by your manager from time to time.


",NA,NA,"Interested and qualified? Go to Paperbags Ltd career website on www.linkedin.com to apply"
"Customer Service Specialist",2019-04-17,NA," BIC","Customer Care  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ","
1 year ","
Responsible for ‘Order to Cash’ process for local and regional sales orders.
Responsible for the accuracy and timeliness of sales orders.
Ensuring accuracy of shipping documents.
Ensuring proper record keeping of all shipping documents for audit purposes.
Follow up on payment terms (cash in advance, Letters of credit) and ensuring documents are aligned accordingly.
Coordinating with supply & demand function as well as warehousing & distribution teams to ensure timely readiness and delivery of orders.
Close coordination with line manager and Finance department with regards to payment terms.
Proposing alternatives and solutions to customer with the aim of reducing delays in time-to-market.
Tracking of orders until delivery.
Regularly updating the customer and line manager on status of orders.
Act as a liaison between the customer and internal departments.
Receiving, recording and resolving customer requests and complaints.
Escalation to line manager for special requirements
","
University degree completed in relevant field.
Minimum of 1-year experience in Customer Service.
Solution oriented mindset.
Strong organization and time management skills.
Efficient and can prioritize workload.
Continuous improvement mindset.
Strong interpersonal skills.
",NA,"Interested and qualified? Go to BIC career website on jobs.smartrecruiters.com to apply"
"Cooler Technician",2019-04-17,NA," Coca-Cola Company","Engineering / Technical  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ","
3 - 5 years ","
Execution of planned maintenance activities.
Breakdown repairs and troubleshooting of faults.
Meeting quality requirements.
Ensure equipment operate at optimum.
Predict breakdowns and carry out improvements to reduce these breakdowns.
Perform both checklist and RCA for coolers and report the same to supervisor for action.
",NA,NA,"Use the link(s) below to apply on company website."
"Stock Controller",2019-04-17,NA," Coca-Cola Company","Logistics  ","Kisumu","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,"
Ensure all stock can be accounted for.
Capturing movement of stock in the system.
Recommend optimal Warehouse layout.
Monitors stock rotation and initiates write off of obsolete stock.
Captures breaks and shorts (Warehouse breakages, Truck breakages, destroyed stock, stock adjustments, trade replacements and returns).
",NA,NA,"Use the link(s) below to apply on company website."
"Motor Vehicle Mechanic",2019-04-17,NA," Coca-Cola Company","Engineering / Technical  ","Kisumu","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,"
Assessment of motor vehicles and provision of information for proper planning.
Carrying out prompt maintenance as per planned timelines and closing job card documentation.
Conducting RCA for all breakdowns and initiating corrective action.
Maintaining safety standards and proper house keeping.
",NA,NA,"Use the link(s) below to apply on company website."
"Assistant Brand Manager – Islands & Mid-Africa",2019-04-17,NA," Coca-Cola Company","Media / Advertising / Branding  ","Kisumu","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,NA,NA,NA,"Use the link(s) below to apply on company website."
"Driver Team Leader",2019-04-17,NA," Coca-Cola Company","Administration / Secretarial  ","Kisumu","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ","
3 - 5 years ","
Operation and process control
People practices and management
Maintenance of trucks and related equipment.
Driving Supply chain ways.
",NA,NA,"Use the link(s) below to apply on company website."
"Field Accountant",2019-04-17,NA," Elizabeth Glaser","Finance / Accounting / Audit  ","Turkana","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,"
Accounts Payables


Timely processing of staff advances for travel and activities;
Timely processing of activities participant’s mobile payments;
Processing of supplier invoices within agreed timelines;
Receiving of supplier invoices in Verian;
Reconciliation of supplier statements;
Ensures that all hard copy vouchers are duly authorized before payment and filing;
Manages a systematic financial filing system that is sequential, complete and up to date at all times both scanned and hard copies.


Accounts Receivables

Reviews and signs off on all submitted Field Expense Reports, ensuring the validity and accuracy of all submitted receipts. Periodically samples receipts and clarifies sampled expenses with vendors;
Follows up to ensure all staff liquidate advances within required timelines;
Accurately posts the advances liquidating expenses to QuickBooks.


Cash/Bank Management

Reviews and signs off on all submitted Field Expense Reports, ensuring the validity and accuracy of all submitted receipts. Periodically samples receipts and clarifies sampled expenses with vendors;
Accurately posts the advances liquidating expenses to QuickBooks;
Building the capacity of petty cash custodian and conducting petty cash counts;
Prepares bank reconciliations.


Statutory Requirements

Ensure all statutory remittances are paid on time, and that accurate amounts are paid
Maintain and update statutory remittances file, conducting period audits of the files to ensure ability to satisfy any statutory scrutiny


Monthly Reporting activities

Timely posting of all transactions as well as ensuring consistency, accuracy and completeness of such transactions;
Ensure EGPAF –K finance office meets all Nairobi reporting deadlines for Quick Books end of the month reports;
Ensure all vouchers are scanned (on a monthly basis) and shared with Nairobi for submission to HQ;
Handles all queries related to financial transactions processed.


",NA,NA,"Interested and qualified? Go to Elizabeth Glaser career website on chj.tbe.taleo.net to apply"
"Marketing Coordinator",2019-04-17,NA," Bluekey Seidor","Sales / Marketing  ","Nairobi","Full Time"," Sales / Marketing / Retail","BA/BSc/HND   ","
4 years ",NA,NA,NA,"Interested and qualified? Go to Bluekey Seidor career website on www.linkedin.com to apply"
"Executive Director",2019-04-16,NA," Amref Kenya","Administration / Secretarial  ","Nairobi","Full Time"," NGO / Non-Profit Associations","Diploma   ",NA,NA,NA,NA,"If you are the right person for the job, please submit your motivation letter and an up-to-date CV with a maximum of 4 pages – both in PDF format- to recruitment@amref.org This position is open until filled. Your application should have the mentioned reference number in the subject line of the email."
"Afya Pwani Senior M&E Advisor",2019-04-16,NA," Palladium International","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
3 years ","
Design and implement a comprehensive HIV Services M&E system for the project, focusing on the accuracy and timeliness of reportingOperationalize use of IQCare EMR at target facilities within the coastal counties; develop systems for the continuous development of capacities of health records information officers (HRIOs) at target facilities in the use of IQCare EMR; develop strategy for the eventual transition of management and maintenance of EMR to the CHMT, SCHMT and HRIO
Develop standardized protocols for the minimization of data collection burden; and for appropriate allocation of reporting responsibilities; and for appropriate workforce management at facilities, including improving the recruitment and retention of HRIO.
Facilitate routine county TWG meetings for information systems and data reporting and use; and work with the CHMT, SCHMT and HRIO to implement data quality assurance protocols
Link to and leverage infrastructure and other investments made by PEPFAR projects specifically CDC KeHMIS, USAID Afyainfo and others
Supervise the Pharmacy/Commodities Specialist and oversee activities to achieve output 3.3, including:
Develop and implement a mentorship program for SCHMTs and CHMTs to improve forecasting, quantification, and timely ordering of medical supplies from the Kenya Medical
Supplies Authority
Secure commodity management at county level
Implement indicator-based systems for the pharmacovigilance of adverse effects related to the use of medicines
Implement electronic pharmaceutical and laboratory supply chain systems at project facilities
Prevent stock-outs
Provide routine reporting of pharmaceutical and laboratory commodity use to the MoH
Supervise the IT Specialist and team members and oversee the activities to achieve output 3.4, including:
Linkage of EMR to DHIS 2
Linkage of EMR to Frontline SMS
Linkage of EMR to the National Data Warehouse
Interoperability of EMR with open, third party lab information systems and commodity supply chain systems in use and project facilities
Supervise the Data Use Specialist and team members and oversee activities to achieve output 3.5, including:
Provide support to the service delivery team to continuously use data for quality improvement; establish facility-level baselines and metrics for QI in all facilities and track progress towards achievement of targets; and routinely review data for use to improve service delivery and clinical decision support
Increase the use of gender and age-disaggregated data in particular, and inferential statistics in general for evidence-informed management of the program
Create and improve access to user-friendly data dashboards and data visualization to enable the CHMT, SCHMT, HRIO, facilities to monitor target indicators for improved decision making
Inculcate a culture of data demand and information use (DDIU), including the provision of routine high-level statistical analyses
",NA,NA,"Interested and qualified? Go to Palladium International career website on palladiumhr.secure.force.com to apply"
"Conflict Information Needs Assessment",2019-04-16,2019-04-19," FilmAid","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified persons with the required experience are invited to submit their full proposal to jobskenya@filmaid.org on or before 19th April. 5 pm with the subject title ‘Proposal: Conflict Information Needs Assessment’"
"Research Manager - Somalia",2019-04-16,NA," Rift Valley Institute (RVI)","Research / Data Analysis  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Application forms can be found here. Applicants must submit a letter explaining their interest in suitability for the position, a current CV, and the names of three references. Applications will be reviewed on a rolling basis, so we encourage early applications. Only selected, qualified candidates will be contacted for interviews. RVI is an Equal Opportunity Employer. For further information see www.riftvalley.net or write to recruitment@riftvalley.net."
"Climate Change Policy Lead",2019-04-16,NA," Oxfam","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Use the link(s) below to apply on company website."
"Land Rights Advocacy Lead",2019-04-16,NA," Oxfam","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Use the link(s) below to apply on company website."
"Communications Intern - NEAR",2019-04-16,2019-04-29," Adeso","Graduate Jobs / Internships  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"This is a challenging opportunity for a dedicated and highly motivated professional. If you would like to join this dynamic team, please submit your application to jobs@near.ngo, quoting the position in the email subject matter, by 29th April, 2019."
"Terms of Reference - Advocacy Officer",2019-04-16,2019-04-29," Adeso","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"This is a challenging opportunity for a dedicated and highly motivated professional. If you would like to join this dynamic team, please submit your application to jobs@near.ngo, quoting the position in the email subject matter, by 29th April, 2019."
"Consultancy_ Application Support Specialist",2019-04-16,NA," International Rescue Committee","Consultancy  
ICT / Computer  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
3 years ","
Primary responsibilities include but are not limited to:
Provide timely L1 and L2 support in troubleshooting and resolving Microsoft Teams issues for IRC Users.
Under the direction of the Application Support Manager, provide guidance to global IT staff on how to respond to and escalate L1 MS Teams incidents.
Collaborate with IRC Users to gather feedback and understand the arising needs on the use of Microsoft Teams and communicate this information to the relevant stakeholders.
Facilitate webinars, in-person meetings and tele-conferences to train and support Microsoft Teams users across the organization.
Build and maintain a knowledge base and technical documentation of commonly encountered issues with the use of Microsoft Teams including but not limited to Quick Resource Guides, Troubleshooting tips and functionality of Microsoft Teams.
Report on and analyze incident trends of Microsoft Teams across different regions and different user groups within the organization i.e Africa, Asia, Middle East and U.S. Programs
Escalation of Microsoft Teams issues to the required support groups, Business System Managers, Vendor Partners or Enterprise Technology Experts
","
Strong written and oral communication and interpersonal skills
Strong sense of customer service
Works well with others in an integrated team environment
Fast and independent learner
Intercultural competence
Self-motivated and a problem solver
Strong computer literacy, including proficiency in Microsoft Office 2013 and Office 365
A sense of personal ownership of the applications, and the drive to keep customers well satisfied with the level of support they receive
",NA,"Interested and qualified? Go to International Rescue Committee career website on rescue.csod.com to apply"
"Route to Consumer Manager",2019-04-16,NA," R4Kenya","Sales / Marketing  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,NA,NA,NA,"Use the link(s) below to apply on company website."
"Urban Brand Ambassadors",2019-04-16,NA," R4Kenya","Sales / Marketing  ","Kisumu","Full Time"," Consulting","BA/BSc/HND   ",NA,NA,NA,NA,"Use the link(s) below to apply on company website."
"KE - Head of collections",2019-04-16,NA," Tala (formerly InVenture)","Administration / Secretarial  ","Nairobi","Full Time"," ICT / Telecommunication","BA/BSc/HND   ","
5 - 7 years ",NA,NA,NA,"Interested and qualified? Go to Tala (formerly InVenture) career website on boards.greenhouse.getrake.io to apply"
"Commercial Manager - Sales & Marketing",2019-04-16,NA," Achyutam","Sales / Marketing  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,NA,NA,NA,"If interested then contact us :"
"Channels Support – Mobile Banking",2019-04-16,NA," Equity Bank Kenya","ICT / Computer  ","Nairobi","Full Time"," Banking / Financial Services","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Equity Bank Kenya career website on www.linkedin.com to apply"
"Head of Marketing",2019-04-16,NA," Melvins Tea","Sales / Marketing  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Melvins Tea career website on www.linkedin.com to apply"
"Sales Manager",2019-04-16,NA," CloudHop.it","Sales / Marketing  ","Nairobi","Full Time"," ICT / Telecommunication","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to CloudHop.it career website on www.linkedin.com to apply"
"Portfolio Data Engineer",2019-04-16,NA," Jumo World","Engineering / Technical  ","Nairobi","Full Time"," ICT / Telecommunication","BA/BSc/HND   ","
3 - 7 years ","
Design, implement, and maintain the software and appliances that constitute JUMO's data platform, enabling effective and efficient use of data across the organisation.
Research of new technologies ensuring that JUMO's data platform remains as effective and efficient as possible.
Mentoring of team members and peer work review, ensuring quality of the team's output and encouraging skills development within the team.
Lead small teams of engineers to drive projects to completion using agile principles.
Operational support of the JUMO data platform to ensure continuous overall system integrity.
",NA,NA,"Interested and qualified? Go to Jumo World career website on boards.greenhouse.io to apply"
"Mergers & Acquisitions Internship",2019-04-16,2019-04-29," Competition Authority of Kenya (the Authority)","Graduate Jobs / Internships  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,"
Mergers and Acquisitions- Bachelors degree in Economics
",NA,"Interested applicants who meet the above requirements are advised to submit their applications to:"
"Enforcement & Compliance Internship",2019-04-16,2019-04-29," Competition Authority of Kenya (the Authority)","Graduate Jobs / Internships  
Law / Legal  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,"
Enforcement and Compliance- Bachelors degree in Law/ Economics
",NA,"Interested applicants who meet the above requirements are advised to submit their applications to:"
"Planning, Policy & Research Internship",2019-04-16,2019-04-29," Competition Authority of Kenya (the Authority)","Graduate Jobs / Internships  
Research / Data Analysis  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,"
Planning, Policy & Research– Bachelors degree in Economics/Statistics
",NA,"Interested applicants who meet the above requirements are advised to submit their applications to:"
"Supply Chain Management Internship",2019-04-16,2019-04-29," Competition Authority of Kenya (the Authority)","Graduate Jobs / Internships  
Procurement / Store-keeping / Supply Chain  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,"
Supply Chain Management– Bachelors degree in Supply Chain/Procurement/Logistics
",NA,"Interested applicants who meet the above requirements are advised to submit their applications to:"
"Human Resource & Administration Internship",2019-04-16,2019-04-29," Competition Authority of Kenya (the Authority)","Graduate Jobs / Internships  
Human Resources / HR  ","Nairobi","Full Time"," Government","BA/BSc/HND   ",NA,NA,"
Human Resource & Administration – Bachelors degree in Human Resource /Social Science
",NA,"Interested applicants who meet the above requirements are advised to submit their applications to:"
"Sales Team Leader",2019-04-16,2019-04-24," Janta Kenya","Sales / Marketing  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ","
2 - 3 years ","
Prepare Sales strategies and taking steps to have an impact on the market.
Setting and achieving sales targets by properly following a strategy.
Operate as the lead point of contact for any and all matters specific to customers
Build and maintain strong, long-lasting customer relationships
Ensure the timely and successful delivery of our products according to customer needs and objectives
Communicate clearly the progress of monthly/quarterly initiatives to internal and external stakeholders
Finding and expanding current business into new local, regional, national or international markets.
Cold calling prospects in the assigned territory and focus area
Development and improvement of products and services
Establishing and keeping good relationships with colleagues and clients alike.
Managing a proposal throughout its development and supervising the involved team.
Coordinating with business associates and partners.
Explore new opportunities to earn more profits.
Learn about new marketing tactics and apply them to the appropriate area.
Motivating fellow employees to bring more efficiency and quality in work.
Determining business growth plan.
","
Must have a business-related Degree.
At least 2 years’ experience as a team leader.
At least 3 years’ experience in sales and business development.
Consistent track record in achieving targets
Must have a strong work ethic
Must be mature
Be a team player
Have good interpersonal and communication skills.
",NA,"If you meet the above requirements, kindly send your CV to vacancies@jantakenya.com to reach us on or before 24th April 2019 clearly indicating the position on the subject line."
"Sales Representative",2019-04-16,2019-04-24," Janta Kenya","Sales / Marketing  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,NA,"
Great sales attitude with at least 1 year experience in FMCG industry
Updated Driving License with 5 years driving experience.
Thorough knowledge of Nairobi and its environs
Business oriented (Agribusiness is an added advantage)
Recent certificate of good conduct (at the very least proof of application)
Flexibility on location
Ability to work long hours
Should be aware about same day deliveries of perishable goods
High integrity
Can work without Supervision.
Ladies are encouraged to apply.
",NA,"If you meet the above requirements, kindly send your CV to vacancies@jantakenya.com to reach us on or before 24th April 2019 clearly indicating the position on the subject line."
"HR Manager",2019-04-16,2019-04-26," Co-operative Bank of Kenya","Human Resources / HR  ","Nairobi","Full Time"," Banking / Financial Services","BA/BSc/HND   ",NA,"
Documentation and management of all staff records and ensuring they are complete and up to date
Ensure staff conduct and discipline is maintained at all branches in liaison with the branch managers through fast conclusion of staff disciplinary cases in collaboration with the CEO.
Implementation and interpretation of the staff policies and terms and conditions of service to the CEO and Board.
Human Resource Planning for all staff to ensure that all staff are optimally utilized
Co-ordinate staff Recruitment & Selection, Orientation & Placement to respective department and branches
Staff Training & Development through conducting staff training needs assessment, recommending relevant training for all staff
Staff Performance Management through implementation of the current performance management system and Performance Appraisals
Enhance staff Motivation , Communication, Welfare and Safety & Health
Co-ordinate and advice the CEO and the board on best available options when matters Industrial Relations arise
Any other lawful duties as may be assigned from time to time.
","
Bachelors’ degree in HRM from recognized University Arts or its equivalent from a recognized university and a Higher Diploma in HR or equivalent
5 years working experience in the grade of HR Manager or a comparable position with similar responsibilities in like organizations.
Membership in IHRM will be an added advantage.
Must be between 30-40 years of age
",NA,"Interested and qualified? Go to Co-operative Bank of Kenya career website on www.co-opbank.co.ke to apply"
