"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method","diff_days"
"Master Data Analyst",2018-07-11,NA,"Schneider Electric","ICT / Computer +","Nairobi","Full Time","Power / Energy","MBA/MSc/MA <U+00A0>",NA,"

Keeping the Master Data complete and clean, with a regular monitoring

Making regular extractions & reports from the ERP System to check the quality of the data.

Developing reports tools (dashboard) for data analysis.

","

Higher education (preferably technical)

Possession of a Bachelor<U+0092>s degree is an added advantage

",NA,"Use the link(s) below to apply on company website.",NA
"Production Statistics Director",2018-07-10,2018-07-24,"Kenya National Bureau of Statistics Knbs","Administration / Secretarial +","Nairobi","Full Time","Government","MBA/MSc/MA <U+00A0>","

10 years","

Overseeing preparation of concept papers and proposals;

Spearheading design, development and review of data collection instruments;

Ensuring and assuring on quality of data released;

Providing inputs into Monthly Leading Economic Indicators, Statistical Abstract and Economic Survey reports;

Monitoring statistical trends and dynamics;

Providing inputs for development of international standards and methods on compilation of data;

Formulating statistical indicators for monitoring economic performance;

Advising and monitoring on statistics produced by stakeholders;

Overseeing development and review of data quality assessment frameworks for production of statistics;

Providing inputs into design, development and review strategy for the National Statistical System;

Constituting and convening stakeholders technical committees on statistics;

Domesticating international standards and methods of statistics;

Training stakeholders on production of statistics;

Presenting and disseminating statistics;

Overseeing preparation of statistics reports;

Providing leadership in the development and implementation of budgets and policies;

Providing leadership in development of work plans for staff at all levels;

Ensuring adequate financial resources, human resources and assets necessary for the delivery of services;

Reporting on the performance of the Directorate;

Coordinating development of staff in line with both individual and institutional performance objectives;

Any other duties as may be assigned by the Director General.

","

Must have at least ten (10 ) years working experience in Statistics, of which three (3) years should have been at the level of a Senior manager or equivalent position;

Must have a Bachelors degree in Statistics; Mathematics; Economics or any other equivalent disciplines from a recognized institution;

Must have a Masters degree in Statistics; Mathematics; Economics or any other equivalent disciplines from a recognized institution.

Must have a Certificate in Strategic Leadership Development Program lasting not less than six (6) weeks from a recognized institution;

Must be adept with appropriate computer skills;

Must have outstanding communication and motivation skills;

Must have working knowledge and experience in financial management with respect to planning and budgeting;

Must have analytical and human resource management skills;

Must be able to work in a collaborative team environment;

Must meet the requirements of chapter six (6) of the Constitution of Kenya 2010 and submit the following documents:-



Tax Compliance Certificate from KRA

Certificate from CRB

A current Certificate of Good conduct from CID

Clearance Certificate from HELB





Clearance from EACC

",NA,"If you possess or meet the above qualifications, send your application letter together with a detailed CV indicating the department/programme you are applying to, names and telephone contacts of three referees, to reach us by 24th July, 2018.",14
"Statistical Coordination Director",2018-07-10,2018-07-24,"Kenya National Bureau of Statistics Knbs","Administration / Secretarial +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>",NA,"

Coordinating, monitoring and supervising NSS programmes;

Undertaking research on specialized statistical areas and new areas of statistics methodology;

Promoting the use of best practices and methods in the production and dissemination of statistical information across the National Statistical System (NSS);

Establishing Statistical standards and assess the quality of statistics produced;

Harmonizing of national and international development indicators;

Designing, developing, updating and managing sampling frames;

Designing sample surveys and estimation procedures;

Maintaining statistical coordination and methods database(s);

Coordinating the operations of field services;

Generating development related indicators data; and

Preparing relevant Chapters in the Annual Economic Surveys and Statistical Abstract.

Providing leadership in the development and implementation of budgets and policies;

Providing leadership in development of work plans for staff at all levels;

Ensuring adequate financial resources, human resources and assets necessary for the delivery of services;

Reporting on the performance of the Directorate;

Coordinating development of staff in line with both individual and institutional performance objectives;

Any other duties as may be assigned by the Director General.

",NA,NA,"If you possess or meet the above qualifications, send your application letter together with a detailed CV indicating the department/programme you are applying to, names and telephone contacts of three referees, to reach us by 24th July, 2018.",14
"Production Statistics Director",2018-07-10,2018-07-24,"Kenya National Bureau of Statistics Knbs","Administration / Secretarial +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>",NA,"

Overseeing preparation of concept papers and proposals;

Spearheading design, development and review of data collection instruments;

Ensuring and assuring on quality of data released;

Providing inputs into Monthly Leading Economic Indicators, Statistical Abstract and Economic Survey reports;

Monitoring statistical trends and dynamics;

Providing inputs for development of international standards and methods on compilation of data;

Formulating statistical indicators for monitoring economic performance;

Advising and monitoring on statistics produced by stakeholders;

Overseeing development and review of data quality assessment frameworks for production of statistics;

Providing inputs into design, development and review strategy for the National Statistical System;

Constituting and convening stakeholders technical committees on statistics;

Domesticating international standards and methods of statistics;

Training stakeholders on production of statistics;

Presenting and disseminating statistics;

Overseeing preparation of statistics reports;

Providing leadership in the development and implementation of budgets and policies;

Providing leadership in development of work plans for staff at all levels;

Ensuring adequate financial resources, human resources and assets necessary for the delivery of services;

Reporting on the performance of the Directorate;

Coordinating development of staff in line with both individual and institutional performance objectives;

Any other duties as may be assigned by the Director General.

","

Must have at least ten (10 ) years working experience in Statistics, of which three (3) years should have been at the level of a Senior manager or equivalent position;

Must have a Bachelors degree in Statistics; Mathematics; Economics or any other equivalent disciplines from a recognized institution;

Must have a Masters degree in Statistics; Mathematics; Economics or any other equivalent disciplines from a recognized institution.

Must have a Certificate in Strategic Leadership Development Program lasting not less than six (6) weeks from a recognized institution;

Must be adept with appropriate computer skills;

Must have outstanding communication and motivation skills;

Must have working knowledge and experience in financial management with respect to planning and budgeting;

Must have analytical and human resource management skills;

Must be able to work in a collaborative team environment;

Must meet the requirements of chapter six (6) of the Constitution of Kenya 2010 and submit the following documents:-



Tax Compliance Certificate from KRA

Certificate from CRB

A current Certificate of Good conduct from CID

Clearance Certificate from HELB

Clearance from EACC





",NA,"If you possess or meet the above qualifications, send your application letter together with a detailed CV indicating the department/programme you are applying to, names and telephone contacts of three referees, to reach us by 24th July, 2018.",14
"Data Intern",2018-07-10,NA,"Kemri Wellcome Trust Research Programme
","Graduate Jobs / Internships +ICT / Computer +","Thika","Full Time","Government","BA/BSc/HND <U+00A0>",NA,"

Data collection, compilation , cleaning , investigational analysis and processing for entry into databases

Designing, improving and updating live databases for long term data storage and back-ups

Assisting in data analysis

Installing and configuring computer hardware, software systems, networks, printers and scanners

Ensure technology is accessible and equipped with current hardware and software

Trouble shoots all technology issues including hardware, software and network operating system

Preparing daily and weekly reports

Scanning and filing of records, archive systems in accordance to department procedures

Monitor security of all technology

Any other duties assigned by Supervisor Education and Professional training

Bachelor<U+0092>s degree in Mathematics and computer science or a related field from a recognized university

Training on data analysis (STATA and or R)

",NA,NA,"Interested candidates should kindly send<U+00A0> CV to kemriuwjobs@gmail.com",NA
"Data Officer",2018-07-09,NA,"Aga Khan Hospital Mombasa","ICT / Computer +","Nairobi","Full Time","Healthcare / Medical","BA/BSc/HND <U+00A0>","

3 years","

Aggregates Institutional and Departmental Key performance indicators (KPI<U+0092>s), Patient satisfaction data

Data entry, analysis, presentation.

Preparing summaries of all analyzed data.

Maintaining archives of all the databases created

Updates databases on monthly basis for quarterly reporting

Timely submission of reports in reference to the agreed timelines

Uploading and updating quality & patient related documents (Policies & Forms) on the intranet

Preparing and updating manual folders for documents

Help other support services maintain their databases

Clerical duties for the department

",NA,NA,"Only qualified candidates are encouraged to email their applications with detailed curriculum vitae, names and contacts of three referees, current and expected salary on or before 20th July, 2018.",NA
"Data Associate",2018-07-06,NA,"Paygo Energy","ICT / Computer +","Nairobi","Full Time","Oil and Gas / Marine","BA/BSc/HND <U+00A0>","

2 - 8 years","

Migrate all existing google sheets and appsheet dashboards to Tableau within your first 3 months

Data manager - Ability to use query languages to generate data table for analysis(e.g Use SQL to create data tables in Big Querry).

Data analysis - Ability to conduct a descriptive analysis of data sets using google sheets/data studio/other BI tools.

Data products - Build and present new dashboards and data visuals on BI Platform that will be used by PayGo Energy customers and employees.

Data reporting - Ability to synthesize findings into a report for managers, senior leadership, and external partners.

Understand and fulfill data related requests made by different departments in the organization such as marketing and customer care.

",NA,NA,"Interested and qualified? Go to PayGo Energy career website on www.linkedin.com to apply",NA
"Consultant - Global Data Manager",2018-07-05,NA,"Aids Healthcare Foundation Ahf","Consultancy +NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Data Management Officer",2018-07-05,NA,"Danish Refugee Council","NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0> MBA/MSc/MA <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to Danish Refugee Council career website on candidate.hr-manager.net to apply",NA
"Data Architect",2018-07-04,2018-07-17,"Cooperative Bank of Kenya","Banking +ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>","

5 years","

Design logical and physical data structures that support the enterprise information requirements as well as analyze and align the enterprise data models with other business process.

Define and maintain the data technology architecture to guide the selection and integration of data-related technology and to govern the flow of data within the enterprise systems and applications. Perform data warehouse architecture to capture the data transitions and snapshots in data warehouse systems for maximum usefulness and performance as well as the business intelligence architecture to govern the decision support framework and drive data mining, analysis, and reporting.

Define and maintain the meta-data architecture that governs how meta-data is created, integrated, controlled and accessed and design enterprise taxonomies and namespaces to organize enterprise data.

Define and maintain conceptual structures and plans to meet the current and long-term data requirements of the enterprise.

Determine, document and assess the enterprise information needs from business, operational, compliance and regulatory perspectives.

Share best practices, lessons learned and constantly update the technical system architecture requirements based on changing technologies, and knowledge related to recent, current and up-coming vendor products and solutions.

Support strategic direction by drawing on information from multiple sources and using guidelines to analyze what information is important and how it should be used.

Achieves results by overseeing tasks through to completion, working within agreed priorities, committing to achieving quality outcomes, and seeking feedback from supervisors to gauge satisfaction and seeks guidance when required.

Support productive working relationships by building and sustaining positive relationships with team members, stakeholders and clients, and being responsive to changes in client and stakeholder needs and expectations.

Display personal drive and integrity by taking responsibility for meeting objectives and progressing work, showing initiative to do what is required, and committing energy and drive to see that goals are achieved

",NA,NA,"If you are confident that you fit the role and peon profile, and you are keen to add value to your career then please forward your application enclosing detailed Curriculum Vitae to jobs@co-opbank.co.ke indicating <U+0093>DA/SSD/2018<U+0094> in the subject line by close of business on Tuesday 17 July 2018.",13
"Database Administrator",2018-07-04,NA,"Kcb Bank Kenya","Banking +ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>","

2 years",NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Database Administrator",2018-07-03,2018-07-17,"Capital Markets Authority Cma","ICT / Computer +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>","

3 years",NA,NA,NA,"To apply, please visit the careers<U+0092> section on the link below.",14
"Data Analyst I",2018-07-03,2018-07-16,"Kenyatta National Hospital","ICT / Computer +","Nairobi","Full Time","Healthcare / Medical","BA/BSc/HND <U+00A0>","

1 year","

Interpreting data, analyzing results using statistical techniques and providing ongoing reports

Developing and implementing databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality

Acquiring data from primary or secondary data sources and maintaining databases/data systems

Identifying, analyzing and interpreting trends or patterns in complex data sets

Filtering and <U+0093>cleaning<U+0094> data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems

","

Bachelor of Science in Mathematics, Economics, Computer Science, Statistics or its accepted equivalent.

Proven working experience of at least one (1) year as a data analyst.

Proven knowledge and experience indata models, database design development, data mining and segmentation techniques.

Proven Knowledge and experience in using statistical packages for analyzing datasets (Excel, SPSS, SASetc).

",NA,"Those interested in applying for the declared vacancies and meet the job specifications are required to apply online and MUST submit a hard copy of the Hospital application form available in the website with copies of certificates and testimonials on or before 16th July 2018 to the address below:",13
"Monitoring and Evaluation Database Developer",2018-07-02,2018-07-06,"Coffey","ICT / Computer +NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

5 years",NA,"

A minimum of 5 years of experience in database design and roll out for development projects

BSc degree in Computer Science or relevant field

Proven experience to lead in the structural design of a databases

In-depth understanding of data management (e.g. permissions, recovery, security and monitoring)

Knowledge of software development and user interface web applications

Hands on experience with SQL and MS Access

Familiarity working with Net Framework, JavaScript, HTML and Oracle

Advanced Knowledge on SharePoint online and best ways to leverage its functionalities

Excellent analytical and organization skills

An ability to understand front-end user requirements and a problem-solving attitude

Excellent verbal and written communication skills

",NA,"Interested and qualified? Go to Coffey career website on secure.dc2.pageuppeople.com to apply",4
"Data Internships",2018-06-28,2018-06-13,"Kemri Wellcome Trust Research Programme
","Graduate Jobs / Internships +ICT / Computer +","Thika","Full Time","Government","BA/BSc/HND <U+00A0>",NA,"

Data collection, compilation , cleaning , investigational analysis and processing for entry into databases

Designing, improving and updating live databases for long term data storage and back-ups

Assisting in data analysis

Installing and configuring computer hardware, software systems, networks, printers and scanners

Ensure technology is accessible and equipped with current hardware and software

Trouble shoots all technology issues including hardware, software and network operating system

Preparing daily and weekly reports

Scanning and filing of records, archive systems in accordance to department procedures

Monitor security of all technology

Any other duties assigned by Supervisor

",NA,NA,"A duly signed application letter indicating the vacancy reference with copies of documents listed aboveshould be sent to: phrdrecruit@pipsthika.org not later than 13th July 2018.",NA
"Senior Statistical Analyst",2018-06-21,NA,"Greenlight Planet","ICT / Computer +Research / Data Analysis +","Nairobi","Full Time","Power / Energy","BA/BSc/HND <U+00A0>","

5 years",NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Planning and Data Analyst",2018-06-20,2018-06-26,"Wananchi Group",NA,"Nairobi","Full Time","Consulting","BA/BSc/HND <U+00A0>","

2 years",NA,NA,NA,"Interested and qualified candidates to submit their application including a detailed CV and day time telephone contact to recruit@ke.wananchi.com on or before 26th June 2018.",6
"Systems Administrator <U+0096> Network and Database",2018-06-20,2018-06-27,"Metropolitan Cannon Life Assurance Ltd","ICT / Computer +","Nairobi","Full Time","Insurance / Investments","BA/BSc/HND <U+00A0>","

4 - 5 years",NA,"

Bachelor<U+0092>s degree in Maths &Computer Science, IT or equivalent

At least 4-5 years of relevant experience as a Systems Administrator

Must be conversant with Windows 2008/2012 and Linux Servers

Experience in Hypervisor Technologies <U+0096> VMWare ESX-i, Hyper-V, Acropolis

",NA,"Interested candidates who meet the above criteria are requested to forward their cover letter, curriculum vitae and relevant academic testimonials via email only to jobs@metcannon.co.ke by 27th June 2018.",7
"Systems Developer / Data Analyst",2018-06-20,2018-06-27,"Metropolitan Cannon Life Assurance Ltd","ICT / Computer +","Nairobi","Full Time","Insurance / Investments","BA/BSc/HND <U+00A0>","

3 years",NA,"

Bachelor<U+0092>s degree in Computer Science, Information Technology or equivalent

Professional Certifications OCA, OCP, OCM, RedHat, MCSE

At least 3 years of relevant experience as a Systems Developer / Data Analyst.

Experience in Windows, Linux, Citrix Applications

Experience in a Data analysis/Business Intelligence Environment will be an added advantage

",NA,"Interested candidates who meet the above criteria are requested to forward their cover letter, curriculum vitae and relevant academic testimonials via email only to jobs@metcannon.co.ke by 27th June 2018.",7
"Data Clerk",2018-06-19,2018-06-30,"American International Health All","NGO/Non-Profit +","Migori, Siaya","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

2 years",NA,NA,NA,"Submit a CV and Cover Letter to HRKenya@aiha.com",11
"Data Engineer",2018-06-19,2018-06-30,"Im Bank","Banking +Engineering / Technical +ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>","

5 years",NA,NA,NA,"If you believe you meet the above requirements, please send your application together with comprehensive curriculum vitae indicating your qualifications, present position, salary expectations and names and contacts of three referees. Your application should reach the address below as soon as possible but not later than 30th June 2018. Please quote reference number followed by the position applied for in the application.",11
"Data Scientist",2018-06-19,2018-06-30,"Im Bank","Banking +ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","MBA/MSc/MA <U+00A0> PhD/Fellowship <U+00A0>","

7 years",NA,NA,NA,"If you believe you meet the above requirements, please send your application together with comprehensive curriculum vitae indicating your qualifications, present position, salary expectations and names and contacts of three referees. Your application should reach the address below as soon as possible but not later than 30th June 2018. Please quote reference number followed by the position applied for in the application.",11
"Data Analysis Supervisors NGO",2018-06-08,2018-06-22,"One Acre Fund","Research / Data Analysis +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

2 years",NA,"

Bachelor<U+0092>s Degree in Mathematics, Statistics, Data Science, Computer Science or related field

Strong data management ability: Data cleaning, data analysis, data wrangling, data presentation and dataset design

2 years of work experience in some form of data analysis & wrangling work

At least one data wrangling software, in addition to advanced Excel skills, such as Pandas, Python or R script

Creativity and strong problem solving skills. You don<U+0092>t take no for an answer and constantly look for alternative solutions to problems.

Some experience training others on data analysis is useful, but not essential

Detail oriented and demonstrates high quality work

A critical thinker

Excellent English & Swahili <U+0096> clear and coherent communicator

Strong oral and written communication skills

",NA,"Interested and qualified? Go to One Acre Fund career website on form.jotformpro.com to apply",14
"Lecturer - Statistics",2018-06-07,2018-06-29,"Multimedia University of Ken","Education / Teaching +","Nairobi","Full Time","Education / Teaching / Information","MBA/MSc/MA <U+00A0> PhD/Fellowship <U+00A0>","

3 years","

Lecturing in area of specialization in accordance with the syllabus;

Coordinating of course, project and practical work, and preparing schemes of work;

Preparing teaching/learning materials;

Setting and marking examination/assignments;

Carrying out research work in relevant field or specialization;

Preparing students progress reports;

Maintaining discipline in lecture rooms/halls;

Developing proposals for research funding;

Writing journal articles and books;

Presenting academic papers in seminars/workshops or symposia;

Developing and reviewing academic programmes/curricula;

Undertaking consultancy services

Supervising Tutorial/Junior Research Fellows and students.

",NA,NA,"APPLICATION PROCEDURE",22
"Data Analyst",2018-06-05,NA,"Branch","ICT / Computer +","Nairobi","Full Time","Banking / Financial Services","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to Branch.co career website on jobs.lever.co to apply",NA
"Data Analysts",2018-06-04,2018-06-15,"Turkana County Government","ICT / Computer +","Turkana","Full Time","Government","BA/BSc/HND <U+00A0>","

3 years","

Collecting and collating information from various data sources for analysis;

Evaluates County Government activities, transactions, seasonality & trends to build accurate forecasts for both short and long term;

Maintaining relevant statistics on county activities in figures;

Carrying out commissioned researches on specific area of interest;

Assisting in preparing relevant information reports for relevant County Assembly committees;

Pulling data and instructing others on pulling data;

Assist the planning team communicate with affiliate networks;

Assisting in workshops planning;

Ability to interpret data and use it to formulate strategy;

Make quick mathematical decisions which will have an impact on the bottom line for the County Government functions;

Any other duty that may be assigned from time to time.

","

Bachelor<U+0092>s degree in mathematics, statistics, computer science, economics or its equivalent from a university recognized in Kenya;

Three (3) years of experience , one (1) of which must be at a managerial position involved in data analysis in the public service or equivalent in the private sector;

Experience working with MS Excel, MS Access, MySQL and other databases, ERPs or POS systems and STATA, preferably experience with R;

Strong working experience Fluency and excellent communication skills in English.

Be a team player with good communication and interpersonal skills

Detail oriented with Strong mathematical and analytical skills to create complex formulas and handle large amounts of data.

",NA,"All written applications, CVs, copies of certificates, testimonials and identity card should be submitted in a sealed envelope clearly marked on the left side the position being applied for and addressed to:",11
"Qualitative Data Collectors / Interviewers",2018-06-01,2018-06-04,"African Population and Health Research Center
","Research / Data Analysis +","Nairobi","Full Time","Research","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested candidates are invited to submit a cover letter together with a CV with contacts of three referees.",3
"Data Recovery Engineer and Computer Forensics Engineer",2018-05-31,NA,"East Africa Recovery Experts","Engineering / Technical +ICT / Computer +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>",NA,"

Diagnose and repair mechanical and electronic failures on customer storage devices as necessary;

Properly use and understand software and hardware tool complexes needed for data recovery;

Communicate status of projects to sales representatives and record work that is performed and needed both textually and verbally;

Keep work area neat and orderly.

","

Must have strong work ethic, be customer focused, and possess a high energy level.

A high degree of integrity, professionalism, and discretion is required;

Take responsibility and ensure all scheduled work is completed by agreed deadlines;

Some training will be provided, but the right candidate is a uniquely motivated self-starter with the ability to study, research, and learn quickly on their own;

Bachelor Degree in Electrical Engineering, Computer Science, IT, Mechanical Engineering or equivalent experience;

Knowledge in FAT, NTFS, NFS, HFS, HTFS, EXT2/3FS is a plus.

Ability to reconstruct disks in a clean room environment

Ability to recover data from RAID systems, virtual servers, data tapes or other types of storage devices is an added advantage.

",NA,"Interested and qualified? Go to East Africa Recovery Experts career website on www.linkedin.com to apply",NA
"Data Associate",2018-05-30,NA,"Paygo Energy","ICT / Computer +","Nairobi","Full Time","Power / Energy","BA/BSc/HND <U+00A0>","

2 - 8 years","

Migrate all existing google sheets and appsheet dashboards to Tableau within your first 3 months

Data manager - Ability to use query languages to generate data table for analysis(e.g Use SQL to create data tables in Big Querry).

Data analysis - Ability to conduct a descriptive analysis of data sets using google sheets/data studio/other BI tools.

Data products - Build and present new dashboards and data visuals on BI Platform that will be used by PayGo Energy customers and employees.

Data reporting - Ability to synthesize findings into a report for managers, senior leadership, and external partners.

Understand and fulfill data related requests made by different departments in the organization such as marketing and customer care.

",NA,NA,"Interested and qualified? Go to PayGo Energy career website on www.linkedin.com to apply",NA
"Data Digitization Officer",2018-05-30,2018-06-15,"Ict Authority","ICT / Computer +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>","

5 years",NA,NA,NA,"Interested and qualified? Go to ICT Authority career website on recruitment.icta.go.ke to apply",16
"Database Analyst",2018-05-30,2018-06-15,"Ict Authority","ICT / Computer +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>","

2 years",NA,NA,NA,"Interested and qualified? Go to ICT Authority career website on recruitment.icta.go.ke to apply",16
"Data Centre Operations Specialist",2018-05-30,2018-06-15,"Ict Authority","ICT / Computer +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>","

5 years",NA,NA,NA,"Interested and qualified? Go to ICT Authority career website on recruitment.icta.go.ke to apply",16
"Consultant Regional Data Coordinator",2018-05-28,2018-06-07,"World Food Programme Wfp","Consultancy +NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to World Food Programme (WFP) career website on career5.successfactors.eu to apply",10
"Harvest Data Officer",2018-05-28,NA,"Komaza Kenya","Research / Data Analysis +",NA,"Full Time","Agriculture / Agro-Allied","BA/BSc/HND <U+00A0>","

2 years",NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Accounting Data Entry Clerk",2018-05-24,NA,"Optica Ltd","Administration / Secretarial +Finance / Accounting / Audit +ICT / Computer +","Nairobi","Full Time","Healthcare / Medical","BA/BSc/HND <U+00A0>",NA,"

Maintains accounting databases by entering data into the computer; processing backups.

Verifies financial reports by running performance analysis software program.

Protects organization's value by keeping information confidential.

Updates job knowledge by participating in educational opportunities.

Accomplishes accounting and organization mission by completing related tasks as needed.

",NA,NA,"Apply by sending your CV/ Resume to hr@optica.co.ke",NA
"Data Marketing Technician <U+0096> Gs5",2018-05-23,NA,"Regional Centre for Mapping of Resources for Development","Media / Advertising / Branding +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

2 years",NA,NA,NA,"Interested candidates, who should be citizens of Kenya, should submit their applications, along with a detailed Curriculum Vitae as well as copies of relevant certificates and testimonials to:",NA
"Biometric Statistician",2018-05-22,2018-06-21,"Kenya Plant Health Inspectorate Service Kephis","Research / Data Analysis +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>","

3 years",NA,"

Bachelors Degree in Bio-statistics/Statistics/ with strong quantitative research background or Bachelors of Science in Mathematics and Statistics from a University recognized in Kenya.<U+00A0>

Master of Science degree from a University recognized in Kenya will be an added advantage.

Three (3) years relevant experience.

Excellent statistical computing skills, including proficiency in, SAS, SPSS and GENSTAT, Microsoft Office among others.

Ability to write scientific publications/reports.

Excellent problem solving skills and the ability to make decisions independently.

Good communication, report writing and presentation skills.

Can work well under pressure and prioritize work.

Experience with a Quality Management System.

",NA,"Interested and qualified individuals should fill the employment application form through the website (www.kephis.org) or download the form from the website and send the duly filled form together with copies of academic and professional certificates and national identity card by 21st June, 2018 to:<U+00A0>",30
"Principal Statistician",2018-05-21,NA,"Kakamega County","Research / Data Analysis +","Kakamega","Full Time","Government","BA/BSc/HND <U+00A0> MBA/MSc/MA <U+00A0>",NA,NA,"

Be a Kenyan citizen;

Have a Master<U+0092>s degree in a relevant field from a recognized University.

Have a Bachelor<U+0092>s degree in Economics, Statistics or Mathematics from a recognized University.

Have Certificate of Proficiency in Computer Applications, especially in STATA, SPSS,E-VIEWS, Excel Spreadsheet, Computer Software/programs for safely storing data and enabling their easy retrieval, etc;

Served as a Senior Economist I/ Senior Statistician I for a minimum of 3 years in a reputable organization and/or government department or Agency;

Demonstrate understanding and commitment to the Values and Principles as outlined in Articles 10 and 232 of the Constitution of Kenya; and

Shown merit and ability as reflected in work performance and results.

",NA,"Applicants should submit their applications together with copies of their detailed Curriculum Vitae, Academic and Professional Certificates, Testimonials, National Identity Card or Passport, and any other supporting documents to:",NA
"Statistician II",2018-05-21,NA,"Kakamega County","Research / Data Analysis +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>",NA,NA,"

Be a Kenyan citizen;

Have a minimum of an Upper Second Class Honours degree in Economics, or Economics and Mathematics, or Economics and Statistics from a recognized University; or

A minimum of an Upper Second Class Honours degree in any of the subjects enumerated above with a bias towards Computer Science, Operations Research, Survey Techniques and Demographic Techniques from a recognized University; or

A minimum of an Upper Second Class Honours degree in Statistics with appropriate specialization from a recognized university; or

Have a Certificate of Proficiency in Computer Applications, especially in SPSS, and Excel Spreadsheet; and

Shown merit and ability as reflected in work performance and results.

",NA,"Applicants should submit their applications together with copies of their detailed Curriculum Vitae, Academic and Professional Certificates, Testimonials, National Identity Card or Passport, and any other supporting documents to:",NA
"Senior Statistician",2018-05-21,NA,"Kakamega County","Research / Data Analysis +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0> MBA/MSc/MA <U+00A0>",NA,"

Adapting statistical methods in order to solve specific problems in all county sectors;

Analyzing and interpret statistical data in order to identify significant differences in relationships among sources of information;

Applying sampling techniques or utilize complete enumeration bases in order to determine and define groups to be surveyed;

Designing research projects that apply valid scientific techniques and utilize information obtained from baselines or data in order to structure uncompromised and efficient analyses;

Developing and test experimental designs, sampling techniques, and analytical methods;

Evaluating sources of information in order to determine any limitations in terms of reliability or usability;

Evaluating the statistical methods and procedures used to obtain data in order to ensure validity, applicability, efficiency and accuracy;

Examining theories, such as those of probability and inference to discover mathematical bases for new or improved methods of obtaining and evaluating numerical data;

Identifying relationships and trends in data, as well as any factors that could affect results;

Planning data collection methods for specific projects, and determining the types and sizes of sample groups to be used;

Processing large amounts of data for statistical modeling and graphic analysis, using computers. Report results of statistical analyses, including information in the form of graphs, charts and tables;

Preparing data for processing by organizing information, checking for any inaccuracies, and adjusting and weighting the raw data;

Supervising and provide instructions to workers collecting and tabulating data;

Ensuring compliance with the National Values and Principles of good governance as outlined in Articles 10 and 232 of the Constitution of Kenya; and

Performing any other duties as may be assigned from time to time.

","

Be a Kenyan citizen;

Have a Master<U+0092>s degree in a relevant field from a recognized University.

Have a Bachelor degree in Economics, Statistics or Mathematics;

Have Certificate of Proficiency in Computer Applications, especially in STATA, SPSS,E-VIEWS, Excel Spreadsheet, Computer Software/programs for safely storing data and enabling their easy retrieval, etc.;

Served as a Senior Economist II/ Senior Statistician II for a minimum of 3 years in a reputable organization and/or government department or Agency;

Demonstrate understanding and commitment to the Values and Principles as outlined in Articles 10 and 232 of the Constitution of Kenya; and

Shown merit and ability as reflected in work performance and results.

",NA,"Applicants should submit their applications together with copies of their detailed Curriculum Vitae, Academic and Professional Certificates, Testimonials, National Identity Card or Passport, and any other supporting documents to:",NA
